neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
North Park,41.97208,-87.73109,Private room,45,32,121,217
Lincoln Park,41.92065,-87.65291,Entire home/apt,325,2,56,42
Irving Park,41.962902,-87.735336,Private room,40,32,11,248
Irving Park,41.962902,-87.735336,Private room,42,2,13,260
Irving Park,41.962902,-87.735336,Private room,47,2,9,154
Mckinley Park,41.83135,-87.67662,Private room,65,1,31,167
West Town,41.9001,-87.68791,Entire home/apt,87,3,302,34
West Town,41.90123,-87.66899,Private room,94,32,53,0
Mckinley Park,41.82909,-87.67677,Private room,65,1,32,167
Near North Side,41.90052,-87.62846,Entire home/apt,75,32,58,0
North Center,41.95696,-87.67864,Entire home/apt,52,1,187,0
Irving Park,41.9603,-87.7123,Entire home/apt,135,1,177,163
East Garfield Park,41.87842,-87.69659,Entire home/apt,167,2,83,43
Norwood Park,41.98294,-87.8196,Private room,34,6,195,102
Austin,41.88941,-87.77036,Private room,30,30,61,260
North Center,41.9464,-87.68028,Entire home/apt,199,3,14,258
Lincoln Park,41.91273,-87.64739,Entire home/apt,169,3,148,249
Woodlawn,41.77962,-87.60265,Entire home/apt,157,3,61,165
Near West Side,41.8723,-87.68509,Private room,33,14,11,45
Uptown,41.96232,-87.665762,Entire home/apt,107,1,202,343
Lake View,41.94472,-87.65031,Entire home/apt,214,2,89,352
Lake View,41.95097,-87.67327,Entire home/apt,239,2,44,165
Lake View,41.94586,-87.65865,Entire home/apt,214,2,129,106
Bridgeport,41.83897,-87.65606,Private room,50,32,23,0
West Ridge,42.01653,-87.68778,Private room,38,1,11,163
Avondale,41.93445,-87.7184,Entire home/apt,87,2,193,279
Englewood,41.79067,-87.63154,Shared room,80,1,1,0
Hegewisch,41.65634,-87.5375,Entire home/apt,170,21,4,363
Near West Side,41.87633,-87.67921,Private room,40,2,242,242
Near West Side,41.87772,-87.67912,Private room,40,2,200,254
West Town,41.89359,-87.6611,Entire home/apt,80,1,169,330
Uptown,41.95689,-87.64718,Private room,26,32,4,0
West Englewood,41.77686,-87.65524,Shared room,25,33,27,364
Douglas,41.83682,-87.61674,Entire home/apt,135,1,130,146
Near West Side,41.87569,-87.67904,Private room,46,2,233,223
Avondale,41.9345,-87.72006,Entire home/apt,88,28,39,364
Albany Park,41.97043,-87.7456,Private room,82,3,211,353
Logan Square,41.91915,-87.71338,Entire home/apt,137,2,151,290
Near West Side,41.87691,-87.68536,Entire home/apt,159,2,243,33
Lake View,41.94739,-87.65251,Entire home/apt,253,2,31,300
Near West Side,41.87268,-87.66202,Entire home/apt,168,2,102,0
Near West Side,41.87632,-87.68113,Private room,42,2,252,255
Near West Side,41.87868,-87.68661,Private room,72,2,156,173
South Lawndale,41.8524,-87.69648,Private room,49,4,12,90
Hermosa,41.91392,-87.72579,Entire home/apt,153,2,102,44
West Town,41.90285,-87.69069,Entire home/apt,94,32,37,0
Norwood Park,41.98696,-87.80674,Private room,100,32,5,364
Edgewater,41.98773,-87.67004,Entire home/apt,149,3,69,203
Near West Side,41.87566,-87.68038,Private room,49,2,8,0
West Town,41.89315,-87.67845,Entire home/apt,312,1,83,89
West Town,41.89191,-87.64496,Entire home/apt,216,2,294,31
West Town,41.911767,-87.685177,Entire home/apt,94,1,198,340
Lake View,41.93712,-87.67301,Entire home/apt,315,2,42,48
Lincoln Park,41.93037,-87.66107,Entire home/apt,93,3,61,0
Calumet Heights,41.72859,-87.57654,Shared room,22,5,83,46
West Town,41.91064,-87.67519,Entire home/apt,195,32,10,362
Avondale,41.93413,-87.70511,Entire home/apt,64,1,390,38
Bridgeport,41.83485,-87.65227,Entire home/apt,128,1,275,59
Lake View,41.94472,-87.65031,Entire home/apt,210,2,95,265
Calumet Heights,41.72928,-87.57656,Shared room,22,2,84,62
Logan Square,41.91955,-87.68825,Entire home/apt,126,32,10,0
West Town,41.90869,-87.67343,Entire home/apt,175,32,42,90
West Ridge,42.00386,-87.69524,Entire home/apt,120,2,94,69
West Town,41.89283,-87.6742,Entire home/apt,223,2,20,174
Hyde Park,41.79733,-87.58073,Entire home/apt,147,1,149,290
Hyde Park,41.79559,-87.58058,Entire home/apt,113,2,160,307
West Town,41.89355,-87.6621,Entire home/apt,99,3,144,47
Logan Square,41.91579,-87.69777,Private room,58,32,101,0
Lake View,41.93731,-87.65372,Entire home/apt,302,5,82,330
Lake View,41.9371,-87.66278,Entire home/apt,115,3,128,40
Uptown,41.96549,-87.6592,Entire home/apt,36,1,441,297
Uptown,41.96549,-87.6592,Entire home/apt,36,1,443,328
Avondale,41.93291,-87.69085,Entire home/apt,139,2,235,20
East Garfield Park,41.88219,-87.70706,Entire home/apt,68,32,37,0
Logan Square,41.91652,-87.69758,Private room,53,32,59,0
Logan Square,41.91803,-87.68115,Entire home/apt,139,1,15,68
Grand Boulevard,41.821701,-87.606926,Entire home/apt,185,3,10,279
West Town,41.91082,-87.67324,Entire home/apt,150,32,19,90
Bridgeport,41.84319,-87.6385,Entire home/apt,75,2,259,160
Armour Square,41.85331,-87.63321,Entire home/apt,209,2,83,181
Belmont Cragin,41.91895,-87.78034,Private room,150,2,13,89
South Shore,41.75711,-87.57761,Entire home/apt,110,32,49,363
Avondale,41.94298,-87.72534,Entire home/apt,199,32,1,0
Calumet Heights,41.72795,-87.57804,Shared room,20,2,41,52
Irving Park,41.96378,-87.73556,Entire home/apt,99,32,35,0
Douglas,41.82922,-87.61972,Private room,61,1,65,361
Uptown,41.95562,-87.65335,Private room,95,2,56,22
Austin,41.91341,-87.79084,Entire home/apt,102,2,84,356
Avondale,41.93994,-87.70073,Entire home/apt,121,2,159,323
Lower West Side,41.85414,-87.67204,Entire home/apt,120,2,138,145
Lincoln Park,41.91353,-87.64256,Entire home/apt,249,32,67,0
Edgewater,41.98526,-87.67212,Private room,35,1,52,1
Lincoln Square,41.97115,-87.68683,Entire home/apt,189,2,43,241
Woodlawn,41.77774,-87.59255,Entire home/apt,206,3,104,175
West Town,41.90238,-87.68262,Entire home/apt,105,1,232,363
Edgewater,41.97831,-87.65496,Private room,60,2,1,0
Logan Square,41.92098,-87.68216,Entire home/apt,92,32,139,258
South Shore,41.76665,-87.58659,Entire home/apt,143,32,27,83
Irving Park,41.95701,-87.6982,Entire home/apt,110,32,120,190
Near West Side,41.87026,-87.6861,Private room,49,2,27,0
Logan Square,41.91539,-87.68254,Entire home/apt,92,3,109,11
West Ridge,42.01346,-87.68516,Entire home/apt,90,32,27,90
Rogers Park,42.0198,-87.66409,Private room,72,32,5,0
Near West Side,41.86014,-87.65944,Entire home/apt,109,3,171,331
Bridgeport,41.84473,-87.63945,Entire home/apt,198,2,67,155
Near West Side,41.87572,-87.67888,Private room,35,1,21,240
South Chicago,41.746983,-87.571312,Private room,75,3,22,103
West Ridge,42.01357,-87.68642,Entire home/apt,116,1,399,338
Near West Side,41.86875,-87.6611,Private room,91,2,65,28
Logan Square,41.92131,-87.68675,Entire home/apt,229,32,14,180
Uptown,41.95818,-87.65246,Entire home/apt,75,32,120,0
Beverly,41.70138,-87.669,Private room,19,32,0,0
West Town,41.91098,-87.69855,Entire home/apt,125,3,40,73
Humboldt Park,41.9026,-87.70854,Entire home/apt,104,32,138,45
Lake View,41.93933,-87.6713,Entire home/apt,275,32,7,97
Near North Side,41.89144,-87.61696,Entire home/apt,164,150,0,365
Lake View,41.94613,-87.65335,Private room,110,1,117,0
West Town,41.9061,-87.68924,Entire home/apt,111,2,168,68
Lincoln Park,41.92106,-87.66071,Private room,180,32,45,365
Irving Park,41.95774,-87.72984,Private room,45,32,27,364
West Town,41.89946365356445,-87.66581726074219,Entire home/apt,64,1,169,357
Bridgeport,41.84338,-87.63914,Entire home/apt,81,2,259,254
Archer Heights,41.80391,-87.72712,Entire home/apt,73,2,72,342
Jefferson Park,41.97272,-87.77216,Entire home/apt,84,1,201,128
Bridgeport,41.83357,-87.64838,Entire home/apt,79,2,288,165
Woodlawn,41.78477,-87.60005,Entire home/apt,114,3,145,251
Douglas,41.83358,-87.61904,Entire home/apt,110,1,115,157
Near North Side,41.89637,-87.62944,Entire home/apt,102,32,20,265
West Town,41.90222,-87.6655,Entire home/apt,114,1,390,15
West Town,41.89833,-87.6934,Entire home/apt,97,2,174,343
Near South Side,41.86415,-87.62809,Private room,90,2,214,0
South Lawndale,41.84529,-87.69685,Entire home/apt,92,2,171,76
Logan Square,41.93038,-87.71157,Private room,31,4,63,0
Hyde Park,41.80034,-87.58555,Entire home/apt,141,1,103,337
Hyde Park,41.79923,-87.58534,Entire home/apt,115,1,112,350
Near West Side,41.88179,-87.6811,Private room,37,1,54,131
West Town,41.90142,-87.66277,Entire home/apt,155,3,218,5
Near North Side,41.90869,-87.63329,Entire home/apt,76,1,207,66
Fuller Park,41.81503,-87.63397,Entire home/apt,25,32,112,282
South Lawndale,41.84672,-87.722,Private room,50,1,111,142
Near North Side,41.89758,-87.62173,Entire home/apt,130,32,6,260
Logan Square,41.92208,-87.71617,Entire home/apt,105,2,54,8
Avondale,41.93493,-87.71985,Entire home/apt,49,14,27,351
West Town,41.89303,-87.661,Private room,55,32,128,0
Lake View,41.94472,-87.65031,Entire home/apt,171,2,71,277
North Center,41.94491,-87.67901,Entire home/apt,172,32,130,320
Near South Side,41.86328,-87.62761,Private room,90,2,221,1
Calumet Heights,41.72828,-87.57651,Shared room,22,2,62,257
Lower West Side,41.84923,-87.68124,Entire home/apt,52,32,10,317
Jefferson Park,41.97229,-87.77097,Entire home/apt,81,1,117,164
Lincoln Park,41.92798,-87.64014,Entire home/apt,85,1,322,51
South Lawndale,41.83837,-87.71035,Entire home/apt,136,2,47,167
West Town,41.90874,-87.67225,Entire home/apt,73,1,119,330
Lake View,41.93569,-87.65633,Entire home/apt,151,3,234,62
Calumet Heights,41.7298,-87.57804,Shared room,20,2,72,59
Irving Park,41.94856,-87.70343,Private room,65,2,121,311
North Center,41.93925476074219,-87.68231964111328,Entire home/apt,94,1,139,338
West Town,41.8992,-87.68148,Entire home/apt,200,3,71,310
Near North Side,41.9106,-87.63893,Entire home/apt,313,2,169,280
Lake View,41.95385,-87.6496,Entire home/apt,99,3,20,2
Lincoln Park,41.91457,-87.64186,Entire home/apt,135,32,64,100
Douglas,41.82647,-87.6237,Private room,29,32,0,0
Irving Park,41.95619,-87.69927,Entire home/apt,151,4,77,201
West Town,41.89917,-87.67901,Entire home/apt,289,3,40,330
Near West Side,41.87003,-87.68831,Entire home/apt,93,1,74,327
Lake View,41.94917,-87.65947,Entire home/apt,198,2,58,0
Uptown,41.96591,-87.65795,Private room,60,1,32,83
Belmont Cragin,41.91826,-87.77921,Private room,150,2,14,365
Irving Park,41.95855,-87.73138,Entire home/apt,345,3,37,354
West Town,41.91013,-87.66673,Entire home/apt,105,1,35,338
Lincoln Park,41.91815,-87.64889,Entire home/apt,250,2,10,0
Douglas,41.83313,-87.61951,Entire home/apt,204,2,58,199
Lower West Side,41.84962,-87.68112,Entire home/apt,61,32,17,266
Lincoln Park,41.91924,-87.6525,Entire home/apt,133,1,321,78
Pullman,41.68882,-87.60642,Entire home/apt,150,3,57,177
Lincoln Square,41.97375,-87.69215,Entire home/apt,118,1,11,0
Near North Side,41.89862,-87.62138,Entire home/apt,135,32,15,365
Lake View,41.94298,-87.64762,Entire home/apt,108,2,175,59
Edgewater,41.98631,-87.67258,Private room,45,1,27,25
Bridgeport,41.84495,-87.65675,Entire home/apt,175,32,81,87
Norwood Park,41.97246,-87.81786,Entire home/apt,250,32,2,0
Uptown,41.97074,-87.65582,Private room,100,1,83,205
Lower West Side,41.85709,-87.6568,Private room,100,2,88,22
Lincoln Park,41.92944,-87.6406,Entire home/apt,249,24,8,171
South Shore,41.76768,-87.5705,Entire home/apt,60,32,24,138
Jefferson Park,41.97239,-87.77103,Entire home/apt,88,1,159,100
Irving Park,41.954819,-87.705929,Entire home/apt,136,1,153,340
Lake View,41.93753,-87.67338,Entire home/apt,121,1,152,316
Near West Side,41.87582,-87.6793,Private room,38,2,177,248
Lake View,41.94793,-87.6461,Entire home/apt,99,32,9,0
Lower West Side,41.85978,-87.65137,Entire home/apt,69,32,154,0
Norwood Park,41.98634,-87.77826,Private room,69,1,141,77
Bridgeport,41.84349,-87.63851,Entire home/apt,64,2,225,136
West Garfield Park,41.87409,-87.73185,Private room,35,31,37,314
West Town,41.89221,-87.66575,Private room,88,32,27,0
Oakland,41.81878,-87.60228,Entire home/apt,175,28,4,318
North Center,41.96026,-87.68429,Entire home/apt,56,140,0,231
Lower West Side,41.85606,-87.66262,Private room,59,2,301,102
West Town,41.8989,-87.68397,Entire home/apt,100,2,90,31
Logan Square,41.927542,-87.697815,Entire home/apt,147,32,157,289
North Park,41.98235,-87.71224,Entire home/apt,65,32,86,168
Edgewater,41.98594,-87.66255,Entire home/apt,133,2,140,271
Loop,41.87027,-87.63379,Private room,70,32,9,13
South Shore,41.75977,-87.56032,Entire home/apt,187,3,59,53
East Garfield Park,41.87226,-87.70939,Private room,68,1,5,0
Ohare,41.97972094276003,-87.84290043266408,Shared room,46,32,1,358
Near West Side,41.88221,-87.67922,Entire home/apt,108,2,214,24
Belmont Cragin,41.91878,-87.75921,Entire home/apt,100,1,148,171
West Pullman,41.67049,-87.65929,Entire home/apt,125,4,50,166
South Lawndale,41.85281,-87.69676,Entire home/apt,110,3,2,53
Hyde Park,41.80151,-87.59275,Entire home/apt,340,2,29,335
Loop,41.8883,-87.62457,Private room,280,32,0,0
Portage Park,41.93968,-87.77421,Entire home/apt,80,32,24,0
Englewood,41.78402,-87.64688,Private room,100,32,0,0
Lake View,41.94259,-87.6487,Entire home/apt,152,2,152,137
Near North Side,41.89952,-87.6421,Entire home/apt,90,32,31,0
Logan Square,41.92866,-87.71376,Entire home/apt,172,2,24,13
Bridgeport,41.84545,-87.64669,Entire home/apt,285,32,154,352
Lake View,41.94035,-87.66589,Entire home/apt,124,1,127,270
Lincoln Park,41.91568,-87.6395,Entire home/apt,236,2,54,241
West Town,41.89502,-87.67037,Private room,75,32,9,365
Grand Boulevard,41.80485,-87.60851,Entire home/apt,187,2,111,265
Lincoln Park,41.91227,-87.64275,Entire home/apt,139,32,25,0
Lake View,41.95211,-87.6559,Entire home/apt,137,2,209,92
Brighton Park,41.81312,-87.7081,Private room,42,32,13,177
Lake View,41.94374,-87.65449,Entire home/apt,99,32,37,0
Near West Side,41.8777,-87.68215,Entire home/apt,42,32,9,149
North Center,41.95676,-87.6783,Entire home/apt,120,32,78,211
Grand Boulevard,41.80695,-87.60955,Entire home/apt,56,32,79,77
Auburn Gresham,41.75368,-87.65483,Private room,79,2,2,89
Avondale,41.93585,-87.70986,Entire home/apt,137,2,90,314
West Town,41.90662,-87.67027,Entire home/apt,91,2,209,315
Irving Park,41.94345,-87.73598,Entire home/apt,136,3,13,121
Rogers Park,42.00348,-87.66603,Private room,85,15,15,324
Avondale,41.93774,-87.72884,Entire home/apt,50,32,1,0
Bridgeport,41.83541,-87.65635,Entire home/apt,98,14,15,364
North Center,41.93908,-87.67829,Private room,150,1,63,177
Logan Square,41.91436,-87.70976,Entire home/apt,99,32,28,0
West Town,41.89806,-87.65788,Entire home/apt,79,2,252,205
Auburn Gresham,41.75234,-87.65656,Entire home/apt,325,32,2,83
Logan Square,41.92258,-87.70096,Entire home/apt,88,3,176,138
Near West Side,41.86026,-87.64718,Entire home/apt,85,32,8,0
Rogers Park,42.0206,-87.66525,Private room,60,2,8,66
West Town,41.89692,-87.67126,Entire home/apt,115,1,196,265
Lincoln Park,41.92948,-87.64581,Private room,199,1,1,0
Albany Park,41.96888,-87.70612,Private room,40,2,62,0
Albany Park,41.96838,-87.70797,Private room,43,2,83,0
North Center,41.94069,-87.67892,Entire home/apt,172,2,257,96
Logan Square,41.92673,-87.71958,Entire home/apt,51,28,73,19
North Lawndale,41.85403,-87.7236,Private room,75,14,7,137
Hyde Park,41.79964,-87.59896,Private room,40,32,41,318
Lower West Side,41.84905,-87.68058,Entire home/apt,278,32,11,305
Near North Side,41.90618,-87.64076,Private room,114,1,89,50
Uptown,41.96248,-87.66653,Entire home/apt,96,2,142,29
Loop,41.886,-87.62516,Private room,60,32,0,0
West Town,41.90543,-87.67264,Hotel room,178,32,5,166
Albany Park,41.96743,-87.70647,Private room,70,32,0,0
Auburn Gresham,41.75241,-87.65611,Private room,79,32,3,89
Near South Side,41.84607,-87.61737,Private room,114,32,21,0
Near South Side,41.85893,-87.62676,Entire home/apt,213,32,82,0
West Town,41.90702,-87.67183,Hotel room,164,1,17,196
West Town,41.90768,-87.67212,Hotel room,190,32,3,173
Douglas,41.83751,-87.61532,Entire home/apt,100,1,46,0
West Town,41.90758,-87.67315,Hotel room,180,32,4,187
West Town,41.90569,-87.67339,Hotel room,178,32,22,185
Hermosa,41.91394,-87.72486,Entire home/apt,65,32,0,263
West Town,41.90554,-87.67377,Hotel room,202,32,10,194
West Ridge,42.01653,-87.68778,Shared room,18,1,129,165
West Town,41.90569,-87.6719,Hotel room,160,32,37,186
West Town,41.90562,-87.67317,Hotel room,173,32,5,160
West Town,41.90713,-87.67388,Hotel room,185,32,21,175
Hyde Park,41.79483,-87.58385,Entire home/apt,105,1,136,345
West Ridge,42.01653,-87.68778,Shared room,19,1,46,163
Hyde Park,41.79806,-87.58394,Entire home/apt,132,1,144,290
Lower West Side,41.85347,-87.68362,Entire home/apt,107,2,133,323
Logan Square,41.9155,-87.70285,Entire home/apt,102,2,219,267
Near North Side,41.8923,-87.627335,Hotel room,38,1,513,345
Lake View,41.94038,-87.64828,Entire home/apt,100,7,44,0
Calumet Heights,41.72808,-87.57732,Shared room,22,2,77,261
Lower West Side,41.857133788077405,-87.65558347928079,Entire home/apt,101,2,257,252
West Town,41.89313,-87.66265,Entire home/apt,116,2,9,0
Near West Side,41.88236,-87.64144,Entire home/apt,86,32,0,0
Bridgeport,41.83999,-87.6488,Entire home/apt,51,32,131,194
Hyde Park,41.80125,-87.58876,Entire home/apt,110,3,156,84
West Town,41.90093,-87.6955,Entire home/apt,103,5,160,31
Avondale,41.93927,-87.71772,Entire home/apt,49,32,11,227
West Town,41.89522,-87.69415,Private room,44,32,1,0
West Town,41.89469,-87.66116,Entire home/apt,215,2,21,0
West Town,41.89467,-87.68899,Entire home/apt,80,3,4,0
Near North Side,41.89574,-87.63563,Entire home/apt,150,32,1,0
Lake View,41.93957,-87.66604,Entire home/apt,88,2,144,31
Bridgeport,41.83887,-87.63924,Entire home/apt,89,4,122,166
North Lawndale,41.85871,-87.69477,Private room,55,2,165,357
Near West Side,41.87775,-87.68219,Entire home/apt,99,32,10,215
West Town,41.891336,-87.679605,Entire home/apt,63,32,216,321
Uptown,41.96231842041016,-87.66576385498047,Entire home/apt,106,1,155,321
Humboldt Park,41.90509,-87.7128,Entire home/apt,147,1,100,163
Lake View,41.94950970781963,-87.64482344421967,Private room,70,1,91,67
Near North Side,41.90707,-87.6272,Entire home/apt,55,32,7,0
Irving Park,41.95757,-87.72495,Entire home/apt,110,1,96,10
West Town,41.89965,-87.69018,Entire home/apt,100,2,14,3
Lake View,41.94031,-87.64319,Entire home/apt,106,1,254,55
Lincoln Square,41.97328,-87.69466,Entire home/apt,124,1,257,119
Near North Side,41.8964,-87.62515,Entire home/apt,83,32,9,0
Uptown,41.97397,-87.67147,Entire home/apt,108,1,212,117
Lincoln Park,41.92855,-87.64495,Entire home/apt,229,5,20,99
Near West Side,41.86068,-87.64783,Entire home/apt,75,32,10,0
North Center,41.95428,-87.6743,Entire home/apt,103,4,136,173
Near North Side,41.8923,-87.627335,Hotel room,38,5,70,345
Near North Side,41.8923,-87.62734,Hotel room,173,1,24,345
Near North Side,41.8923,-87.627335,Hotel room,38,1,1243,345
Uptown,41.96871,-87.6574,Entire home/apt,120,2,224,43
West Town,41.90881,-87.67062,Entire home/apt,83,32,3,87
Grand Boulevard,41.81798,-87.60811,Entire home/apt,139,32,35,249
Lincoln Park,41.92873,-87.63965,Entire home/apt,78,1,239,119
Lake View,41.93448,-87.65906,Entire home/apt,312,3,83,289
Lower West Side,41.85222,-87.6693,Entire home/apt,125,7,1,0
Lower West Side,41.85103,-87.68133,Entire home/apt,84,32,14,360
Logan Square,41.91504,-87.7179,Private room,170,32,9,88
Jefferson Park,41.97052,-87.75786,Entire home/apt,130,3,132,17
Albany Park,41.96718,-87.70666,Entire home/apt,114,5,72,119
Avondale,41.93472,-87.71325,Private room,80,1,5,0
Lake View,41.93812,-87.67068,Entire home/apt,138,2,176,206
Irving Park,41.95646286010742,-87.72673797607422,Private room,60,2,29,18
West Town,41.89892,-87.68935,Entire home/apt,96,2,220,103
Austin,41.88299,-87.77116,Entire home/apt,63,5,49,163
West Town,41.90736,-87.68954,Entire home/apt,123,2,313,138
Avondale,41.9342,-87.69292,Entire home/apt,115,2,128,162
Kenwood,41.80458,-87.59182,Entire home/apt,200,32,1,0
Grand Boulevard,41.82298,-87.61569,Entire home/apt,45,32,17,82
Lake View,41.93279,-87.65803,Entire home/apt,325,2,128,180
Jefferson Park,41.98298,-87.77786,Entire home/apt,100,2,110,227
West Town,41.90901,-87.67804,Entire home/apt,132,2,72,53
North Lawndale,41.86149,-87.71599,Entire home/apt,142,3,113,343
Bridgeport,41.84547,-87.64532,Entire home/apt,208,2,136,341
Near West Side,41.88048,-87.68637,Private room,60,32,10,310
Lincoln Park,41.913808,-87.640147,Entire home/apt,160,1,167,323
Near West Side,41.8801,-87.6869,Private room,50,32,12,224
West Town,41.9051,-87.66857,Private room,120,7,27,333
Lincoln Park,41.92905,-87.66831,Private room,60,1,67,279
Lincoln Park,41.92164,-87.6616,Entire home/apt,92,2,440,66
Humboldt Park,41.91179,-87.70652,Entire home/apt,117,2,198,34
Edgewater,41.98847,-87.67075,Private room,160,3,6,84
West Town,41.90562,-87.69112,Entire home/apt,110,2,68,99
Lincoln Park,41.91789,-87.64532,Entire home/apt,188,2,230,26
Edgewater,41.98968,-87.66152,Entire home/apt,83,32,34,257
Edgewater,41.98489,-87.67094,Entire home/apt,100,3,45,5
Lower West Side,41.85697,-87.6423,Entire home/apt,80,1,138,0
Portage Park,41.94011,-87.75711,Private room,84,2,6,361
West Garfield Park,41.87475,-87.72419,Entire home/apt,120,32,3,0
Near North Side,41.88873,-87.63055,Private room,120,1,440,215
West Ridge,42.01496,-87.69537,Private room,50,28,11,0
North Center,41.95759,-87.67982,Entire home/apt,70,32,8,0
East Garfield Park,41.87473,-87.6945,Private room,38,2,172,90
West Town,41.90407,-87.68955,Entire home/apt,50,32,7,0
West Town,41.90713,-87.66578,Entire home/apt,130,2,73,204
West Town,41.90125,-87.69439,Entire home/apt,75,3,130,16
Logan Square,41.91969,-87.68626,Entire home/apt,110,2,95,0
Rogers Park,42.01227,-87.67041,Entire home/apt,95,1,15,0
Portage Park,41.93912,-87.75509,Private room,94,32,8,365
Belmont Cragin,41.9383,-87.75677,Private room,98,32,21,365
Portage Park,41.9388,-87.75524,Entire home/apt,200,32,0,364
Armour Square,41.85589,-87.63324,Entire home/apt,192,2,132,319
South Shore,41.76944,-87.57338,Private room,89,32,2,364
Woodlawn,41.78091,-87.61007,Entire home/apt,120,3,62,90
Near South Side,41.86647,-87.62037,Entire home/apt,140,32,0,365
North Lawndale,41.86569,-87.69819,Entire home/apt,150,32,10,89
Near West Side,41.87318,-87.68452,Entire home/apt,65,2,52,0
East Garfield Park,41.87341,-87.69506,Private room,39,2,186,84
Irving Park,41.9594,-87.70304,Entire home/apt,189,40,0,0
Near North Side,41.90722,-87.6348,Entire home/apt,114,1,195,0
North Center,41.96059,-87.69151,Entire home/apt,100,2,89,0
West Englewood,41.77243,-87.67379,Shared room,25,3,32,335
Brighton Park,41.80848,-87.71082,Entire home/apt,82,2,181,349
Mckinley Park,41.83416,-87.68495,Entire home/apt,89,7,5,363
Near North Side,41.89601,-87.62627,Entire home/apt,99,32,5,91
Irving Park,41.96042,-87.72471,Entire home/apt,69,3,69,3
Near South Side,41.86302,-87.62382,Entire home/apt,68,179,0,245
Logan Square,41.91997,-87.69397,Entire home/apt,102,20,82,1
East Garfield Park,41.87459,-87.6933,Private room,38,5,125,86
East Garfield Park,41.87483,-87.69308,Private room,45,2,140,41
Near North Side,41.88893,-87.63022,Private room,120,1,310,217
Portage Park,41.95895,-87.76753,Entire home/apt,114,2,119,35
Jefferson Park,41.97932,-87.77409,Entire home/apt,70,1,159,31
Greater Grand Crossing,41.76879,-87.61566,Entire home/apt,80,32,9,88
North Center,41.94708,-87.67556,Entire home/apt,157,32,54,68
Edgewater,41.98811,-87.66516,Entire home/apt,149,32,54,0
Logan Square,41.91815,-87.70828,Entire home/apt,160,32,42,0
Logan Square,41.92932,-87.70915,Entire home/apt,139,2,238,98
Irving Park,41.94176,-87.72921,Entire home/apt,53,1,491,316
Kenwood,41.80816,-87.59339,Private room,100,2,75,211
Calumet Heights,41.7297,-87.57822,Shared room,23,2,36,0
Lower West Side,41.8592643737793,-87.65789794921875,Entire home/apt,125,2,222,77
Lake View,41.93422,-87.64419,Entire home/apt,58,1,211,163
Logan Square,41.925489,-87.711754,Entire home/apt,76,1,156,337
Logan Square,41.92199,-87.70251,Entire home/apt,155,32,12,87
Logan Square,41.92063,-87.6823,Entire home/apt,350,3,1,0
North Center,41.9591,-87.6759,Entire home/apt,128,3,52,34
Near North Side,41.8923,-87.627335,Hotel room,38,1,42,345
Portage Park,41.95619,-87.77117,Entire home/apt,91,1,284,260
East Garfield Park,41.87308,-87.71586,Entire home/apt,123,2,3,88
Rogers Park,42.01381,-87.67743,Private room,90,32,0,0
West Town,41.90619,-87.66436,Entire home/apt,50,32,48,0
Logan Square,41.91749,-87.70931,Entire home/apt,40,1,362,300
Lake View,41.93477,-87.65038,Entire home/apt,175,2,25,0
Norwood Park,41.98606,-87.77856,Private room,68,1,99,86
Logan Square,41.92123,-87.68397,Entire home/apt,103,2,137,319
West Town,41.91218,-87.68174,Entire home/apt,129,2,161,63
Bridgeport,41.83302,-87.64656,Entire home/apt,68,4,148,35
Lake View,41.93642,-87.64437,Entire home/apt,57,1,217,157
Grand Boulevard,41.81781,-87.61329,Entire home/apt,133,2,121,155
Near North Side,41.90346,-87.64723,Entire home/apt,100,32,0,0
Armour Square,41.8512,-87.6376,Private room,65,1,83,358
Grand Boulevard,41.81107,-87.61249,Entire home/apt,113,2,130,234
Logan Square,41.9307,-87.69315,Private room,42,1,10,0
West Town,41.911767,-87.685177,Entire home/apt,89,1,177,350
Logan Square,41.92409,-87.68815,Entire home/apt,114,2,87,123
Near North Side,41.89222,-87.627487,Hotel room,249,1,184,66
Lincoln Square,41.96746,-87.68515,Entire home/apt,216,3,99,130
Near North Side,41.898904,-87.62797,Entire home/apt,169,32,1,250
Lower West Side,41.84952,-87.68379,Private room,45,2,179,0
Rogers Park,42.01203,-87.66995,Entire home/apt,55,32,1,0
West Town,41.91013,-87.67252,Entire home/apt,86,30,149,48
Logan Square,41.9279,-87.70037,Entire home/apt,105,3,130,89
Near West Side,41.88016,-87.68636,Private room,55,32,17,254
West Ridge,41.99418,-87.69507,Private room,85,1,51,364
Irving Park,41.95826,-87.71223,Entire home/apt,104,2,99,180
Brighton Park,41.80917,-87.71045,Entire home/apt,229,2,93,340
Irving Park,41.94881,-87.71909,Entire home/apt,95,1,71,41
Near North Side,41.89192,-87.61669,Entire home/apt,350,32,7,335
Logan Square,41.92059,-87.72375,Entire home/apt,79,2,214,112
Lake View,41.94868,-87.65625,Entire home/apt,95,1,125,201
Lower West Side,41.84952,-87.68379,Private room,49,2,153,0
Lower West Side,41.84952,-87.68379,Private room,41,2,191,0
Lower West Side,41.84952,-87.68379,Private room,45,2,155,0
West Town,41.89407,-87.67524,Entire home/apt,149,1,1,0
Near North Side,41.89236,-87.62221,Entire home/apt,105,1,12,0
